sadistic,Cruel
catalyst,substance that causes speeding up
volatile,changeable inconstant fickle unstable explosive
engulf,swallow up
entice,attract, lure"
amalgamate,mix; combine; unite societies
calipers,metal supports attached to the legs measuring instrument
endorse,write one's name on the back of
evasive,tending to evade
hospitable,liking to give hospitality
allegiance,duty support loyalty
repulsive,causing a feeling of disgust
embezzle,use in a wrong way for one's own benefit
forgery,counterfeit
yeoman,man owning small estate; middle-class farmer
disallow,refuse to allow or accept as a correct
recuperate,become strong after illness loss exhaustion
submerge,put under water liquid sink out of sight
pertain,belong as a part have reference
aberration,straying away from what is normal
apartheid,brutal racial discrimination
gait,a manner of walking, stepping, or running"
evoke,call up bring out
foster,nurture; care for
braggart,boastful
drowsiness,feeling sleepy half asleep
implosion,collapse; bursting inward
scribble,write hastily
affinity,close connection; relationship
abscond,to go away suddenly (to avoid arrest)
perish,be destroyed decay
articulate,speak distinctly; connect by joints
writ,written order
permeate,spread into every part of
indulgent,inclined to indulge
fission,splitting or division (esp. of cells)
negligent,taking too little care
poseur,a person who attempts to impress by acting unlike himself
erratic,irregular in behaviour or opinion
dormant,in a state of inactivity but awaiting development
commemorate,keep the memory of
dullard,a stupid, insensitive person"
gerontocracy,government ruled by old people
equilibrium,state of being balanced
mischievous,harmful; causing mischief
chisel,steel tool for shaping materials
renowned,celebrated; famous
premature,doing or happening something before the right time
torque,twisting force causing rotation
conjoin,to join together
pivotal,of great importance (others depend on it)
treacherous,not to be trusted, perfidious"
apt,well-suited; quick-witted
connote,Suggest or imply in addition to the precise, literal meaning"
tadpole,form of a frog when it leaves the egg
grumble,to complain
relapse,fall back again
meticulous,giving great attention to details
retrospective,Looking back on past
buoyant,able to float; light-hearted
weigh,measure how heavy something is
rejuvenation,becoming young in nature or appearance
combustion,process of burning
fragile,easily injured broken or destroyed
acumen,Keen, quick, accurate insight or judgment"
console,give comfort or sympathy to
abhor,to hate; to detest
boisterous,noisy; restraint
aggravate,make worse; irritate
flimsy,lacking solidarity, strength"
paradigm,a model example or pattern
stride,walk with long steps
affable,polite and friendly
suffocate,cause or have difficulty in breathing
lampoon,publicly mock or ridicule
massacre,cruel killing of a large number of people
infuriate,fill with fury or rage
